"","datetime","city","country","shape"
"85024",1998-09-22,"portsmouth","us","egg"
"49534",2010-05-27,"ventura","us","light"
"31387",2009-02-23,"arizona city","us","other"
"36151",2009-03-20,"birmingham (uk/england)","gb","sphere"
"51564",1981-06-10,"fremont (niles canyon)","us","diamond"
"61813",2011-07-01,"greencastle","us","light"
"23401",2013-12-28,"rocky mount","us","changing"
"4475",2006-10-23,"cypress","us","cylinder"
"27489",2010-01-05,"uk/scotland",NA,"diamond"
"13608",2001-11-22,"greenville","us","fireball"
"42259",2014-04-20,"kenner","us","light"
"43523",2011-04-26,"san jose","us","light"
"7749",1994-10-08,"thunder bay (canada)","ca","oval"
"38542",2011-03-04,"space (nasa broadcast)",NA,"sphere"
"20346",2006-12-15,"concord/walnut creek",NA,"unknown"
"27121",2012-01-03,"elizabeth city","us","triangle"
"42115",2005-04-20,"los angeles","us","light"
"66132",2010-07-24,"davis","us","light"
"71959",1991-08-01,"kissimmee","us","other"
"15537",2004-11-03,"chalybeate springs","us","unknown"
"62369",2012-07-13,"des moines","us","unknown"
"55746",2007-06-19,"sioux city","us","light"
"15966",2004-11-04,"miramar","us","triangle"
"45208",2012-04-07,"cedar park","us","changing"
"40990",2000-04-15,"meraux","us","rectangle"
"8141",2011-10-09,"plantation","us","other"
"36899",2013-03-23,"richmond","us","circle"
"17060",2009-01-16,"van nuys","us","diamond"
"36100",2005-03-20,"jasper (canada)","ca","disk"
"46026",1969-05-01,"wheaton","us","disk"
"14509",2007-11-26,"jalgaon (india)",NA,"fireball"
"35354",2004-03-16,"san luis obispo","us","flash"
"70545",2010-07-07,"poulsbo","us","formation"
"28558",2006-02-11,"austin","us","other"
"58528",1966-06-30,"lake cushman",NA,"other"
"12220",2005-01-01,"brentwood","us","rectangle"
"48898",2013-05-23,"hurst","us","rectangle"
"51276",2006-05-08,"bloomington","us","unknown"
"79301",2004-08-05,"eugene","us","chevron"
"8719",1988-11-11,"fort lewis",NA,"circle"
"53824",2008-06-14,"batesville","us","circle"
"5546",2000-10-28,"negombo (sri lanka)",NA,"fireball"
"44704",1999-04-05,"baltimore","us","fireball"
"36474",2005-03-02,"oak forest","us","flash"
"42507",2002-04-02,"st-truiden (belgium)",NA,"light"
"64796",2001-07-20,"aberdeen (uk/scotland)","gb","light"
"71278",2003-08-10,"flamatt (switzerland)",NA,"light"
"81591",2011-09-01,"falmouth","us","light"
"3805",2003-10-21,"bellmore","us","oval"
"7501",2012-10-06,"reynoldsburg","us","oval"
"19441",2009-01-21,"nashville","us","triangle"
"8084",2009-10-09,"new york city","us","unknown"
"47118",2000-05-15,"shakopee","us","fireball"
"63252",1999-07-15,"carmel","us","triangle"
"59813",1968-06-06,"nas fallon",NA,"disk"
"43229",2014-04-24,"pompano beach","us","other"
"45911",2006-05-11,"elgin","us","circle"
"73713",1999-08-15,"hobe sound","us","circle"
"40471",2003-04-13,"san diego","us","unknown"
"17383",2005-11-07,"navarre","us","formation"
"462",2010-10-11,"union city","us","other"
"80142",2004-08-08,"rochester","us","cigar"
"47928",2008-05-19,"irvine","us","circle"
"46429",2002-05-12,"newport","us","fireball"
"52755",1993-06-01,"clinton","us","other"
"1758",2008-10-14,"vallejo","us","sphere"
"67115",2006-07-28,"dunedin (new zealand)",NA,"unknown"
"28822",2010-02-01,"mare island",NA,"circle"
"61226",2011-07-11,"snowflake","us","light"
"10915",1999-11-16,"hamilton (hanover twp)","us","fireball"
"32046",2010-02-27,"lawrenceville","us","circle"
"66980",2013-07-27,"sag harbor","us","fireball"
"66988",2013-07-27,"chagrin falls","us","fireball"
"66989",2013-07-27,"york",NA,"fireball"
"32244",2013-02-28,"carmichael","us","formation"
"39198",2003-03-08,"columbia","us","oval"
"29533",1993-02-15,"ironton","us","sphere"
"61484",1989-07-01,"stony point","us","triangle"
"2479",2013-10-15,"hunlock creek","us","triangle"
"32680",2003-02-05,"burlington","us","triangle"
"45625",1967-05-10,"fallon","us","oval"
"75690",2002-08-21,"sisseton","us","light"
